,ML True,DL True,Persistence,SVR,Ridge,RandomForestRegressor,GradientBoostingRegressor,AdaBoostRegressor,BaggingRegressor,RNNModel,LSTMModel,GRUModel,TransformerWithLinear,TransformerWithAttention
3430,751.5,751.5,767.0,621.8788468348959,680.1048211152887,736.903,696.2741819912258,596.3205360250647,740.0699999999999,722.6095,747.83136,737.6218,732.35626,752.1351
3431,811.5,811.5,751.5,714.3552826179887,725.5399970986626,798.2440000000004,776.1230997060443,685.8374193548373,790.6899999999998,793.459,802.6655,808.9714,807.6363,817.05084
3432,709.5,709.5,811.5,711.4683735895054,728.2889253725418,711.675,693.126323320579,588.1381481481469,711.5,719.66315,766.7889,731.8447,721.7554,747.96564
3433,672.5,672.5,709.5,648.4418948465301,631.980786644893,666.31,660.062309817704,565.8067860509013,664.6600000000001,666.16406,680.27454,637.3514,670.57416,687.5276
3434,847.2,847.2,672.5,858.4876618345412,785.5629388022606,838.6469999999989,830.8009676163188,730.050096339114,847.2,858.4264,857.0813,869.195,832.2666,834.1596
3435,849.0,849.0,847.2,879.1921721498662,855.4750794390366,841.9490000000002,830.1651741796002,730.5906329113919,847.72,861.5793,872.17816,866.4969,850.66144,847.2146
3436,836.2,836.2,849.0,778.1586510227983,742.4612959059958,828.177999999999,811.8614744493995,703.8161290322568,821.21,775.8707,798.31757,745.78644,836.71234,827.08636
3437,850.4,850.4,836.2,844.2931484620436,860.8138168101179,841.7429999999997,837.5471426746603,745.3457777777713,844.1600000000001,893.4271,876.99915,885.60626,852.3557,850.8404
3438,763.0,763.0,850.4,747.3475245729433,713.2479915855025,761.479,752.4876487687046,682.5236674816613,765.09,724.9754,757.24866,720.4567,790.4971,779.40344
3439,626.9,626.9,763.0,642.1016676457904,657.939356290521,588.1580000000006,631.0395944040981,578.7548550724629,627.66,601.1215,633.3679,622.4955,624.9065,645.5081
3440,406.1,406.1,626.9,464.63122893450395,543.9628527341544,415.71299999999957,419.57616450190125,457.637433862434,413.2,430.81885,477.8883,465.8749,434.0506,455.4734
3441,198.0,198.0,406.1,281.2466480511378,305.11323495645445,192.96099999999998,197.74441196384728,204.79236453201977,187.53,189.91846,212.19753,201.37782,208.85379,199.77225
3442,174.2,174.2,198.0,181.83025824161157,210.08216794433562,171.18100000000024,169.88564184539933,217.1005512679166,174.14000000000001,174.26828,190.43263,182.6783,176.80373,167.88614
3443,31.7,31.7,174.2,55.71969498562086,28.297454781569314,28.697999999999976,38.16174681252588,75.29530516431983,29.249999999999993,26.469223,31.212387,28.731781,27.280624,18.961166
3444,-1.0,-1.0,31.7,23.113982405235532,-68.64721745746223,-0.7390000000000002,3.187104590974417,75.29530516431983,-0.23999999999999994,4.215805,3.551361,-1.5275269,-3.556778,-9.783234
